epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,731.499,0.913,0.55562,1.08213,0.84168,0.85062,0.89009,0.62646,1.1093,0.733,1.22329,0.0007855,0.0007855,0.0007855
67,742.551,0.90904,0.55948,1.08038,0.84052,0.87512,0.89912,0.6331,1.10731,0.68947,1.21957,0.0007822,0.0007822,0.0007822
68,753.61,0.90791,0.5445,1.07415,0.80981,0.8804,0.86376,0.62182,1.0906,0.70358,1.21597,0.0007789,0.0007789,0.0007789
69,764.653,0.88925,0.54549,1.07631,0.83427,0.8461,0.88108,0.62698,1.10811,0.74853,1.21685,0.0007756,0.0007756,0.0007756
70,775.733,0.89141,0.5319,1.07303,0.8104,0.84796,0.86931,0.61712,1.13432,0.76851,1.24967,0.0007723,0.0007723,0.0007723
71,786.778,0.89454,0.5408,1.07053,0.84644,0.84885,0.89438,0.63452,1.10353,0.71056,1.21608,0.000769,0.000769,0.000769
72,797.839,0.8996,0.532,1.06685,0.83861,0.85109,0.87921,0.61819,1.12794,0.73683,1.24305,0.0007657,0.0007657,0.0007657
73,808.873,0.8825,0.52054,1.06946,0.82496,0.85429,0.88791,0.62163,1.0973,0.74569,1.223,0.0007624,0.0007624,0.0007624
74,819.928,0.88051,0.52096,1.05719,0.8383,0.84053,0.89216,0.62795,1.12343,0.72489,1.24437,0.0007591,0.0007591,0.0007591
75,830.998,0.87764,0.53169,1.06196,0.83842,0.82165,0.87954,0.60675,1.14288,0.76152,1.24805,0.0007558,0.0007558,0.0007558
76,842.052,0.87231,0.52234,1.06536,0.79208,0.86989,0.86181,0.60886,1.11555,0.75624,1.2319,0.0007525,0.0007525,0.0007525
77,853.102,0.87085,0.53441,1.06679,0.8125,0.83808,0.86849,0.62343,1.11152,0.74176,1.23426,0.0007492,0.0007492,0.0007492
78,864.161,0.86686,0.52221,1.05656,0.81856,0.8671,0.87827,0.6206,1.09363,0.70688,1.23073,0.0007459,0.0007459,0.0007459
79,875.216,0.85538,0.51823,1.05684,0.85004,0.83928,0.89611,0.63469,1.11194,0.71827,1.23871,0.0007426,0.0007426,0.0007426
80,886.278,0.85029,0.5128,1.05892,0.83494,0.85857,0.88851,0.62385,1.14246,0.71245,1.255,0.0007393,0.0007393,0.0007393
81,897.318,0.85954,0.50892,1.0515,0.86266,0.81368,0.8771,0.62991,1.0986,0.72308,1.22314,0.000736,0.000736,0.000736
82,908.386,0.84435,0.50943,1.04709,0.84123,0.84639,0.86865,0.61286,1.13409,0.76187,1.24696,0.0007327,0.0007327,0.0007327
83,919.446,0.86438,0.51175,1.06146,0.83848,0.84487,0.88464,0.60841,1.13584,0.73912,1.24267,0.0007294,0.0007294,0.0007294
84,930.49,0.84128,0.49972,1.04185,0.83942,0.83716,0.89094,0.63034,1.11503,0.72235,1.23799,0.0007261,0.0007261,0.0007261
85,941.529,0.84266,0.50128,1.04558,0.8436,0.83998,0.88525,0.63139,1.11379,0.70698,1.23007,0.0007228,0.0007228,0.0007228
86,952.589,0.83811,0.49993,1.05106,0.83449,0.82569,0.87167,0.59545,1.16007,0.76093,1.28792,0.0007195,0.0007195,0.0007195
87,963.634,0.85214,0.50861,1.05045,0.82327,0.83646,0.86849,0.61318,1.13855,0.76702,1.26037,0.0007162,0.0007162,0.0007162
88,974.688,0.84352,0.4943,1.04304,0.83476,0.85485,0.89215,0.63695,1.14972,0.721,1.26143,0.0007129,0.0007129,0.0007129
89,985.763,0.82268,0.49581,1.03884,0.83786,0.84126,0.88334,0.62763,1.12827,0.71051,1.25349,0.0007096,0.0007096,0.0007096
90,996.82,0.81398,0.48727,1.03166,0.83108,0.84009,0.88511,0.62995,1.11712,0.73253,1.24042,0.0007063,0.0007063,0.0007063
91,1007.89,0.82935,0.49072,1.04409,0.79249,0.84656,0.86718,0.62199,1.11547,0.75518,1.2466,0.000703,0.000703,0.000703
92,1018.94,0.81954,0.47808,1.02908,0.81915,0.84276,0.88407,0.62602,1.11328,0.71416,1.24457,0.0006997,0.0006997,0.0006997
